Acc_Ver,Gen,Pathway
ABS73796.1,mlnA,macrolactin
ABS73797.1,mlnB,macrolactin
ABS73798.1,mlnC,macrolactin
ABS73799.1,mlnD,macrolactin
ABS73800.1,mlnE,macrolactin
ABS73801.1,mlnF,macrolactin
ABS73802.1,mlnG,macrolactin
ABS73803.1,mlnH,macrolactin
ABS73804.1,mlnI,macrolactin
ABS74569.1,dfnA,difficidin
ABS74566.1,dfnB,difficidin
ABS74565.1,dfnC,difficidin
ABS74564.1,dfnD,difficidin
ABS74563.1,dfnE,difficidin
ABS74562.1,dfnF,difficidin
ABS74561.1,dfnG,difficidin
ABS74560.1,dfnH,difficidin
ABS74559.1,dfnI,difficidin
ABS74558.1,dfnJ,difficidin
ABS74557.1,dfnK,difficidin
ABS74556.1,dfnL,difficidin
ABS74555.1,dfnM,difficidin
ABS74567.1,dfnX,difficidin
ABS74568.1,dfnY,difficidin
ABS74053.1,baeB,bacillaene
ABS74054.1,baeC,bacillaene
ABS74055.1,baeD,bacillaene
ABS74056.1,baeE,bacillaene
ABS74058.1,baeG,bacillaene
ABS74059.1,baeH,bacillaene
ABS74060.1,baeI,bacillaene
ABS74061.1,baeJ,bacillaene
ABS74062.1,baeL,bacillaene
ABS74063.1,baeM,bacillaene
ABS74064.1,baeN,bacillaene
ABS74065.1,baeR,bacillaene
ABS75236.1,dhbA,bacillibactin
ABS75233.1,dhbB,bacillibactin
ABS75235.1,dhbC,bacillibactin
ABS75234.1,dhbE,bacillibactin
ABS75232.1,dhbF,bacillibactin
ABS75822.1,bacA,bacilysin
ABS75821.1,bacB,bacilysin
ABS75820.1,bacC,bacilysin
ABS75819.1,bacD,bacilysin
ABS75818.1,bacE,bacilysin
ABS74181.1,bmyA,bacillomycinD
ABS74180.1,bmyB,bacillomycinD
ABS74179.1,bmyC,bacillomycinD
ABS74182.1,bmyD,bacillomycinD
ABS74209.1,fenA,fengycin
ABS74208.1,fenB,fengycin
ABS74207.1,fenC,fengycin
ABS74206.1,fenD,fengycin
ABS74205.1,fenE,fengycin
ABS72764.1,srfAA,surfactin
ABS72765.1,srfAB,surfactin
ABS72767.1,srfAC,surfactin
ABS72768.1,srfAD,surfactin
ABS73214.1,acoA,Deg_Acetoin
ABS73215.1,acoB,Deg_Acetoin
ABS73216.1,acoC,Deg_Acetoin
ABS73217.1,acoL,Deg_Acetoin
ABS73218.1,acoR,Deg_Acetoin
ABS75646.1,alsD,Syn_Acetoin
ABS75647.1,alsS,Syn_Acetoin
ABS75648.1,alsR,Syn_Acetoin
ABS75255.1,acnB,Amylocyclicin
ABS75254.1,acnA,Amylocyclicin
ABS75253.1,acnC,Amylocyclicin
ABS75252.1,acnD,Amylocyclicin
ABS75251.1,acnE,Amylocyclicin
ABS75250.1,acnF,Amylocyclicin
ABS73125.1,pznF,Plantazolicin
ABS73126.1,pznK,Plantazolicin
ABS73127.1,pznG,Plantazolicin
ABS73128.1,pznH,Plantazolicin
ABS73129.1,pznA,Plantazolicin
ABS73130.1,pznJ,Plantazolicin
ABS73131.1,pznC,Plantazolicin
ABS73132.1,pznD,Plantazolicin
ABS73133.1,pznB,Plantazolicin
ABS73134.1,pznE,Plantazolicin
ABS73135.1,pznL,Plantazolicin
